tip_label,Leaf_type_code
Mannagettaea_hummelii,1
Conopholis_americana,1
Conopholis_alpina,1
Epifagus_virginiana,1
Boschniakia_rossica,1
Cymbaria_mongolica,2
Cymbaria_daurica,2
Bungea_trifida,3
Bungea_vesiculifera,5
Monochasma_sheareri,2
Monochasma_savatieri,2
Siphonostegia_syriaca,2
Siphonostegia_chinensis,3
Schwalbea_americana,2
Lindenbergia_indica,4
Lindenbergia_muraria,4
Lindenbergia_grandiflora,4
Lindenbergia_philippensis,4
Rehmannia_angulata,4
Rehmannia_glutinosa,4
Rehmannia_henryi,4
Rehmannia_chingii,4
Triaenophora_rupestris,4
Paulownia_fortunei,4
Paulownia_tomentosa,4
